tweet,label
السمنة تزيد من مخاطر أمراض القلب والضغط، لذلك يُنصح بممارسة الرياضة يومياً.,accurate
النوم أقل من 3 ساعات يومياً يزيد المناعة.,misinformation
المشي قبل النوم يساعد على تحسين جودة النوم.,accurate
شرب الماء بكثرة مفيد للجلد وصحته.,accurate
شرب الليمون قبل النوم يمنع السرطان.,misinformation
التطعيم ضد الإنفلونزا يقلل من شدة المرض إن حدثت الإصابة.,accurate
شرب العسل مع القرفة يقضي على البكتيريا فوراً.,misinformation
الالتزام بالأدوية الموصوفة يساعد بشكل كبير في السيطرة على الأمراض المزمنة.,accurate
تناول القرفة يومياً يعالج السكري نهائياً.,misinformation
شرب كأس ماء قبل النوم يمنع الجلطات بنسبة 100%.,misinformation
الراحة بعد العمليات الجراحية تسرّع الشفاء.,accurate
الكمون يزيل الحصى من الكلى تماماً.,misinformation
وضع ملح الليمون على الشعر يجعله ينمو بسرعة هائلة.,misinformation
الإكثار من السكريات يزيد خطر السمنة ومرض السكري.,accurate
الغرغرة بالماء المالح تمنع التهاب الحلق كلياً.,misinformation
السمنة تزيد من مخاطر أمراض القلب والضغط، لذلك يُنصح بممارسة الرياضة يومياً.,accurate
شرب الشاي بعد الطعام مباشرة يسبب حصى الكلى.,misinformation
الغرغرة بالماء المالح تمنع التهاب الحلق كلياً.,misinformation
المضادات الحيوية يجب أخذها حتى نهاية الجرعة المقررة.,accurate
شرب الحليب يزوّد الجسم بالكالسيوم المهم للعظام.,accurate
ممارسة الرياضة تحسن صحة القلب والشرايين.,accurate
استخدام زيت النعناع يقي من العدوى الفيروسية.,misinformation
شرب الماء بعد الأكل يسبب السمنة فوراً.,misinformation
تناول الشاي الأخضر يمنع الإصابة بالزكام للأبد.,misinformation
تناول الزنجبيل يقي تماماً من السرطان.,misinformation
الالتزام بالأدوية الموصوفة يساعد بشكل كبير في السيطرة على الأمراض المزمنة.,accurate
الإكثار من السكريات يزيد خطر السمنة ومرض السكري.,accurate
مرضى الضغط يجب أن يقللوا من تناول الملح.,accurate
شرب كميات كافية من الماء يساعد على تحسين وظائف الكلى.,accurate
تناول الشاي الأخضر يمنع الإصابة بالزكام للأبد.,misinformation
التطعيم ضد كورونا يساعد في منع الحالات الشديدة.,accurate
دهن الظهر بالعسل يعالج التهابات الرئة.,misinformation
تجنّب التدخين يقلل من خطر أمراض الرئة.,accurate
الثوم يعالج فيروس كورونا بشكل كامل خلال أيام قليلة.,misinformation
شرب كميات كافية من الماء يساعد على تحسين وظائف الكلى.,accurate
استخدام زيت النعناع يقي من العدوى الفيروسية.,misinformation
بعض حالات الصداع تنتج عن قلة النوم.,accurate
كورونا مجرد إنفلونزا بسيطة ولا يحتاج أي علاج.,misinformation
التطعيمات الدورية للأطفال ضرورية للنمو السليم.,accurate
لقاح التهاب الكبد B يحمي من الإصابة بالفيروس بنسبة عالية.,accurate
شرب كميات كافية من الماء يساعد على تحسين وظائف الكلى.,accurate
شرب الحليب يزوّد الجسم بالكالسيوم المهم للعظام.,accurate
شرب الماء بعد الأكل يسبب السمنة فوراً.,misinformation
الراحة بعد العمليات الجراحية تسرّع الشفاء.,accurate
وضع شريحة بطاطس على القدم يعالج الحمى.,misinformation
مضادات الحيوية لا تُستخدم لعلاج الفيروسات بل البكتيريا فقط.,accurate
الأشخاص المصابون بالسكري يحتاجون لمتابعة مستوى السكر يومياً للحفاظ على صحتهم.,accurate
شرب كميات كافية من الماء يساعد على تحسين وظائف الكلى.,accurate
فحص الأسنان كل 6 أشهر يساعد في كشف مشاكل الفم مبكراً.,accurate
لقاحات كوفيد-19 تم اختبارها من جهات علمية موثوقة وتُعد آمنة وفعّالة.,accurate
تناول الخبز وحده يزيد المناعة.,misinformation
فحص الأسنان كل 6 أشهر يساعد في كشف مشاكل الفم مبكراً.,accurate
الليمون مع العسل يذيب الدهون خلال يوم واحد فقط.,misinformation
غسل اليدين لمدة 20 ثانية يقلل خطر انتقال الأمراض بنسبة كبيرة.,accurate
الالتزام بالعلاج يقلل من مضاعفات السكري.,accurate
شرب الماء الساخن يقضي على الفيروسات داخل الجسم فوراً.,misinformation
شرب القهوة باعتدال قد يكون مفيداً لصحة القلب.,accurate
مضادات الحيوية لا تُستخدم لعلاج الفيروسات بل البكتيريا فقط.,accurate
شرب الأعشاب قد يخفف الأعراض لكنه لا يغني عن العلاج الطبي.,accurate
كورونا مجرد إنفلونزا بسيطة ولا يحتاج أي علاج.,misinformation
تناول الخضروات والفواكه يمد الجسم بالفيتامينات الضرورية.,accurate
فحص القلب مهم لمن لديهم تاريخ عائلي للمرض.,accurate
الثوم يقوي القلب ويمنع الجلطات بشكل كامل.,misinformation
فحص الأسنان كل 6 أشهر يساعد في كشف مشاكل الفم مبكراً.,accurate
منظمة الصحة العالمية توصي بشرب الماء بانتظام للحفاظ على نشاط الجسم.,accurate
الأدوية يجب أن تؤخذ فقط تحت إشراف طبيب مختص.,accurate
